Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
2.807139667,-3.862304688,-16.54918671,-42.6569519,45.91740981
2.817084667,-4.027130127,-16.45385742,-42.62643433,45.86894488
2.827029667,-4.032363892,-16.40133667,-42.60998535,45.83529922
2.836975667,-4.081268311,-16.46112061,-42.88470459,46.11640847
2.846920667,-4.003356934,-16.59578705,-42.94448853,46.21337587
2.856865667,-4.228927612,-16.63783264,-42.67126465,45.9949794
2.866811667,-3.94052124,-16.83499908,-42.4480896,45.83432352
2.876756667,-3.76675415,-16.90746307,-42.4649353,45.86198289
2.886702667,-3.989898682,-16.89421082,-42.7427063,46.13320488
2.896647667,-4.03453064,-16.9417572,-42.69540405,46.11071569
2.906592667,-4.092391968,-16.83822632,-42.46838379,45.86760468
2.916538667,-4.134994507,-16.88002014,-42.67877197,46.08156721
2.926483667,-4.182495117,-16.9879837,-42.55001831,46.00640079
2.936428667,-3.752502441,-17.00488281,-43.1741333,46.55376569
2.946374667,-3.483123779,-17.15312958,-42.7605896,46.20422089
2.956319667,-3.33782959,-16.8993454,-42.43151855,45.79478953
2.966264667,-3.63482666,-16.94436646,-42.73529053,46.11538329
2.976210667,-3.699676514,-16.64341736,-42.90859985,46.17184087
2.986155667,-3.673660278,-16.71759796,-42.73461914,46.03500336
2.996101667,-3.747299194,-16.82266235,-42.58682251,45.94215571
3.006046667,-3.944290161,-16.90548706,-42.69573975,46.08990247
3.015991667,-3.713485718,-16.91005707,-43.0904541,46.43842419
3.025937667,-3.571090698,-16.8466568,-42.91967773,46.24566218
3.035882667,-3.709182739,-16.74186707,-43.19448853,46.47377743
3.045828667,-3.818054199,-16.61331177,-43.01196289,46.26671176
3.055773667,-3.925689697,-17.03564453,-43.08081055,46.4928001
3.065718667,-3.82749939,-17.21708679,-42.84835815,46.33637476
3.075664667,-3.663391113,-16.94154358,-42.50735474,45.90546307
3.085609667,-3.832687378,-16.94270325,-42.67938232,46.07900131
3.095554667,-3.799957275,-17.08329773,-42.73724365,46.18171426
3.105500667,-3.67124939,-17.08921814,-42.6701355,46.11138593
3.115445667,-3.614471436,-16.91753387,-42.91369629,46.26934931
3.125391667,-3.754577637,-17.14987183,-43.00088501,46.44664755
3.135336667,-3.555084229,-16.90395355,-42.86660767,46.21610458
3.145281667,-3.612792969,-17.00624847,-42.9196167,46.30721604
3.155227667,-3.613769531,-17.04265594,-42.78396606,46.19501276
3.165172667,-3.72668457,-17.15343475,-42.70016479,46.16744064
3.175117667,-3.623382568,-16.96951294,-42.71231079,46.10243772
3.185063667,-3.390014648,-16.77762604,-42.58312988,45.89448644
3.195008667,-3.721038818,-16.97162628,-42.67245483,46.07407764
3.204954667,-3.642089844,-16.79307556,-42.11938477,45.48972168
3.214899667,-3.553695679,-16.79824066,-42.46859741,45.80820241
3.224844667,-3.686477661,-16.90730286,-42.70419312,46.0770563
3.234790667,-3.938156128,-16.61956024,-42.78900146,46.07187323
3.244735667,-3.476287842,-16.76298523,-42.71148682,46.01470805
3.254680667,-3.836608887,-16.75256348,-42.71166992,46.03970784
3.264626667,-3.774902344,-16.63628387,-42.76126099,46.03847597
3.274571667,-3.577850342,-16.66371918,-42.74307251,46.01576684
3.284517667,-3.59538269,-16.73959351,-43.17529297,46.44616981
3.294462667,-3.542449951,-16.85016632,-43.17852783,46.48507634
3.304407667,-3.678253174,-16.79749298,-42.99468994,46.30581691
3.314353667,-3.362625122,-16.75370789,-42.54943848,45.85246657
3.324298667,-3.544708252,-16.79922485,-42.5475769,45.88109864
3.334243667,-3.360580444,-16.8181839,-42.72125244,46.03531493
3.344189667,-3.326507568,-16.84532928,-42.75857544,46.07739733
3.354134667,-3.462310791,-17.0026474,-42.8677063,46.24627399
3.364080667,-3.518356323,-16.58190155,-42.97375488,46.19612429
3.374025667,-3.467651367,-16.93729401,-42.82052612,46.1789345
3.383970667,-3.365341187,-16.95013428,-42.90118408,46.2508829
3.393916667,-3.230941772,-17.04045868,-42.68325806,46.07251605
3.403861667,-3.263000488,-16.99651337,-42.85629272,46.21894054
3.413806667,-3.235565186,-16.79402161,-43.19668579,46.45924781
3.423752667,-3.300994873,-17.00392151,-43.3197937,46.65441501
3.433697667,-3.284255981,-16.79003906,-42.99450684,46.27331161
3.443642667,-3.289535522,-16.84410095,-42.8843689,46.1910584
3.453588667,-3.25982666,-16.67473602,-43.17642212,46.39910256
3.463533667,-3.286651611,-16.55715942,-43.21112061,46.39119045
3.473479667,-3.303604126,-16.44615173,-42.95455933,46.11381435
3.483424667,-3.303604126,-16.44615173,-42.95455933,46.11381435
3.493369667,-3.333190918,-16.44036102,-43.34231567,46.47528333
3.503315667,-3.239929199,-16.58588409,-43.2510376,46.43534156
3.513260667,-3.179077148,-16.72337341,-43.00537109,46.25191556
3.523205667,-3.176361084,-16.67366028,-42.93380737,46.16721816
3.533151667,-3.136779785,-16.60307312,-43.21990967,46.40540934
3.543096667,-2.993545532,-16.65209198,-42.84667969,46.06616375
3.553042667,-3.051330566,-16.6368103,-42.80288696,46.02370267
3.562987667,-3.435653687,-16.66452026,-43.07208252,46.31105963
3.572932667,-3.453048706,-16.46183777,-43.03631592,46.20649452
3.582878667,-3.220748901,-16.35842133,-42.64083862,45.784411
3.592823667,-3.506347656,-16.5631485,-42.87075806,46.09267033
3.602768667,-3.353912354,-16.72512054,-43.23944092,46.48255195
3.612714667,-3.343643188,-16.3264389,-42.865448,45.99107728
3.622659667,-3.105331421,-16.38424683,-43.10998535,46.2229106
3.632605667,-3.102584839,-16.49223328,-42.83169556,46.00189056
3.642550667,-2.923171997,-16.7461319,-42.64733887,45.91049314
3.652495667,-2.7865448,-16.50331879,-42.66265869,45.82823158
3.662441667,-3.007537842,-16.18585968,-42.70397949,45.76742512
3.672385833,-3.074188232,-16.76209259,-42.71221924,45.98643336
3.682330833,-3.118896484,-16.73409271,-42.83032227,46.08897785
3.692276833,-3.288101196,-16.83167267,-42.89691162,46.19807183
3.702221833,-3.355819702,-16.69706726,-42.96966553,46.22170201
3.712167833,-3.327453613,-16.65712738,-43.03512573,46.26612029
3.722112833,-3.402923584,-16.68056488,-42.99636841,46.24401399
3.732057833,-3.397338867,-16.67141724,-42.96795654,46.21388702
3.742003833,-3.323043823,-16.5614624,-42.67834473,45.89951814
3.751948833,-3.235702515,-16.48282623,-43.10128784,46.25877587
3.761893833,-3.275421143,-16.49536896,-43.30795288,46.45863067
3.771839833,-3.377609253,-16.54297638,-42.95828247,46.15725668
3.781784833,-3.338760376,-16.7076416,-43.06546021,46.3133509
3.791730833,-3.150268555,-16.77455902,-42.82974243,46.10528016
3.801675833,-3.247085571,-16.77198029,-42.91696167,46.19208251
3.811620833,-3.088531494,-16.62605286,-42.83248901,46.04982927
3.821566833,-3.258575439,-16.61489105,-43.10699463,46.31291293
3.831511833,-3.33380127,-16.5247345,-42.83862305,46.03616736
3.841456833,-3.26739502,-16.78974915,-43.0062561,46.28293001
3.851402833,-3.175003052,-16.85942841,-42.82849121,46.13676007
3.861347833,-3.30166626,-17.08281708,-42.89517212,46.2895175
3.871293833,-3.452346802,-16.92469788,-43.00064087,46.34025477
3.881238833,-3.428192139,-16.85474396,-42.65917969,45.9960923
3.891183833,-3.475265503,-16.7006073,-42.71282959,45.99319043
3.901129833,-3.34487915,-16.49327087,-42.72842407,45.92313605
3.911074833,-3.359939575,-16.43667603,-42.64535522,45.82662801
3.921019833,-3.251785278,-16.48416901,-42.72262573,45.90778458
3.930965833,-3.350204468,-16.55254364,-43.07312012,46.26558383
3.940910833,-3.563049316,-16.62932587,-42.97137451,46.214379
3.950856833,-3.386169434,-16.66603851,-43.15222168,46.38250984
3.960801833,-3.550933838,-16.70822906,-42.97961426,46.2495545
3.970746833,-3.219909668,-16.78939056,-42.54272461,45.84904438
3.980692833,-3.492980957,-16.74634552,-42.55792236,45.86739321
3.990637833,-3.525665283,-16.70307159,-43.17504883,46.42744617
4.000582833,-3.508377075,-16.45892334,-42.85379028,46.03968081
4.010528833,-3.508422852,-16.63300323,-42.78356934,46.0369377
4.020473833,-3.570877075,-16.85706329,-42.76428223,46.1052663
4.030419833,-3.216308594,-16.897789,-42.87496948,46.19678476
4.040364833,-3.450027466,-16.73439789,-43.36206055,46.60698507
4.050309833,-3.285858154,-16.97342682,-43.12976074,46.46579757
4.060255833,-3.58001709,-16.70282745,-42.98934937,46.2588924
4.070200833,-3.504959106,-16.37346649,-43.27444458,46.40099888
4.080145833,-3.546981812,-16.42868805,-43.30535889,46.45252393
4.090091833,-3.345321655,-16.51248169,-43.55783081,46.7026536
4.100036833,-3.272994995,-16.56287384,-43.64355469,46.79531122
4.109982833,-3.373168945,-16.5149765,-43.48742676,46.6398864
4.119927833,-3.386505127,-16.53740692,-43.52526855,46.68407916
4.129872833,-3.802124023,-16.67822266,-43.58673096,46.82331015
4.139818833,-3.502380371,-16.58506775,-43.52365112,46.7080223
4.149763833,-3.351470947,-16.51491547,-43.53427124,46.68198328
